title_spotify,artist_spotify,id_spotify,match_score,image
Hello Mary Lou,['Ricky Nelson'],0YOasUp8fxPk3FXEa3fZ9z,1.0000001192092896,https://i.scdn.co/image/ab67616d0000b273e8e386154ad8315823340cdd
Schöner fremder Mann,['Connie Francis'],0UiaExhYxY3E6ZQJHPoAtp,0.8778340816497803,https://i.scdn.co/image/ab67616d0000b273286e48898f40fe094220a54d
Wooden Heart (Muss i denn zum Städtele hinaus),['Gus Backus'],0DKpDGt6S4RwT3IxlWW58I,1.0,https://i.scdn.co/image/ab67616d0000b273b8f4f63cc79bffcb6ef603c9
Wooden Heart,['Elvis Presley'],5QWQ9ChSbNDTSx1iZp961C,1.0,https://i.scdn.co/image/ab67616d0000b273a0b8a1ce10fddbba6879262e
Pepito,['Los Machucambos'],4uyZelxU8nHtF6wtWE3rDx,0.9777337908744812,https://i.scdn.co/image/ab67616d0000b273c3a8d82d6054353106169810
Wie damals in Paris,['The Blue Diamonds'],5k69HnmzaaWP7dRRHG1LiF,0.9933959245681763,https://i.scdn.co/image/ab67616d0000b273ac1fc6945d18fc0badb2ad69
"Corinna, Corinna",['Peter Beil'],6Zjh3XRsndoiTBISlKW9Rp,1.0000001192092896,https://i.scdn.co/image/ab67616d0000b273146cead2976f91d6e01fa16c
"Corinna, Corinna",['Ray Peterson'],60m7GuCqbvRVqzNuJa9q7M,0.9999999403953552,https://i.scdn.co/image/ab67616d0000b273c1d1776f92a0ece6526bf328
Wohin du willst,['Florian Paul & Die Kapelle der letzten Hoffnung'],1GBat6TfquiuFVsYEP3Hfw,0.5301560163497925,https://i.scdn.co/image/ab67616d0000b27392ed40efe73d0bf9efb7887e
Bist du einsam heut Nacht,['Peter Alexander'],3W9Kc7upw8ElSG8bdrh8MN,1.0,https://i.scdn.co/image/ab67616d0000b273b5262bad50c41baa467f819d
Are You Lonesome Tonight?,['Elvis Presley'],4xUqqie4bBKufHtlMuZS3k,1.0,https://i.scdn.co/image/ab67616d0000b27352cbfb62c42adc19d5637843
Zuckerpuppe (Aus der Bauchtanz-Truppe),['Bill Ramsey'],6LS2Di4Qf8hBUPxk5HZFgo,1.0,https://i.scdn.co/image/ab67616d0000b273b2127401bc43dcdd3371f43f
Hello Mary Lou,['René Kollo'],2A9m0HIL6EBEboAPnbsVIh,0.932197093963623,https://i.scdn.co/image/ab67616d0000b2737bcf479be3a54a0cd0f57a26
Da sprach der alte Häuptling der Indianer,['Gus Backus'],6aHIdMN1eIUIyOKlY9iWfP,1.0,https://i.scdn.co/image/ab67616d0000b273accbe58717de7a4158201daf
Pepe,['Willy Hagara'],6v7Qb0Nb5g2LxFO0FPaNWM,1.0,https://i.scdn.co/image/ab67616d0000b2734432c38d7d01ba2f4a2ffab6
Pepe,['Jørgen Ingmann'],2NWVFmPpIxTCeU2pRZoMpl,0.9044979810714722,https://i.scdn.co/image/ab67616d0000b2735bb4281691bc7fdd1725c527
Pepe,['Dalida'],4L8qTLanM0k5MNV4mVxqRV,1.0,https://i.scdn.co/image/ab67616d0000b273ddd5b224b570ae70c8ca7f20
Pepe,['Caterina Valente'],2aSYeArl8J0HnqX8pTAxkZ,1.0,https://i.scdn.co/image/ab67616d0000b2732cba7d1f0f3716d35c2984d0
Tanze mit mir in den Morgen (Mitternachts-Tango),['Gerhard Wendland'],16UieEKoUq7xphJ9keJ8I4,1.0,https://i.scdn.co/image/ab67616d0000b273b2d5a746ef3ca9433ad24dc3
Danke Für Die Blumen,['Siw Malmkvist'],6xLuL2asrlBoy2odCvbqOi,1.0,https://i.scdn.co/image/ab67616d0000b27383c00a16c9a8c8eeea9d6593
The Continental,['Ulrich Tukur & Die Rhythmus Boys'],3FmwXRl8iL1nr0yR361MUa,0.6505343317985535,https://i.scdn.co/image/ab67616d0000b273289bb3d2fa376ab7ecb90f1e
Michael (Row the Boat),['Lonnie Donegan'],6DgLchG18EdPf23n5I4Krb,1.0000001192092896,https://i.scdn.co/image/ab67616d0000b273363f10e4c28287230eccf367
Hallelujah,['Rea Garvey'],3P7hq9pLY3BFYvsctGQa7l,0.7892194390296936,https://i.scdn.co/image/ab67616d0000b2737beb57402631b51d547277ab
Ich komme wieder,['Gerd Böttcher'],3GvhsGxrOS4wSVsL5blcCu,1.0,https://i.scdn.co/image/ab67616d0000b273448b9f15e990569e07d61bda
Pepe,['Duane Eddy'],5MGvMTGIf0PHlnn4TTEsU9,1.0,https://i.scdn.co/image/ab67616d0000b2732b796a8c14e67d30c26feb74
O Sole Mio/It's Now Or Never - Live,['Elvis Presley'],5kB4PT1l3saWMUbtWrrtv0,0.8487176895141602,https://i.scdn.co/image/ab67616d0000b273c922d9e228ccb3af58f05a16
Am Sonntag will mein Süßer mit mir segeln geh'n,['Old Merry Tale Jazzband'],3vVlnGDP7D7E5e86qcQKcJ,0.96751868724823,https://i.scdn.co/image/ab67616d0000b2737c4f2a76803d3f97fe2f4f97
Apache,['The Shadows'],0sZy1HE2aGBQABHfVRQ4jB,1.0,https://i.scdn.co/image/ab67616d0000b27322c7a428d6bdc9cf796f43db
Apache,['Jørgen Ingmann'],2tbvKV4tCBIvSBcgieC5in,0.8040280342102051,https://i.scdn.co/image/ab67616d0000b2735bb4281691bc7fdd1725c527
Einen Ring Mit Zwei Blutroten Steinen,['Caterina Valente'],5e5Npa8hMN0OaBqUw2U07Q,1.0000001192092896,https://i.scdn.co/image/ab67616d0000b27385d2e8043e149ba027b97c77
Sucu Sucu,['Ping Ping'],30DhDPOftFkbVS4U9M24EY,1.0,https://i.scdn.co/image/ab67616d0000b2731aa8afef1c4fd7c6e5e2e3df
Denn sie fahren hinaus auf das Meer,['Peggy Brown'],5EEnhDGEpME3hi4lUaXqas,0.8542606830596924,https://i.scdn.co/image/ab67616d0000b273ac43cd20a9cd5233bbeb2cf9
"Rosalie, Musst Nicht Weinen",['Caterina Valente'],4UGY84xbf7XZVZ9N4s8GPO,0.9928884506225586,https://i.scdn.co/image/ab67616d0000b27385d2e8043e149ba027b97c77
"Schnaps, das war sein letztes Wort",['Willy Millowitsch'],5fY1cimPkXg4fgiYQlHjrJ,1.0000001192092896,https://i.scdn.co/image/ab67616d0000b273e268a7f14d5d482b63014915
Drei weiße Birken,['Das Hellberg-Duo'],5avMRcpbOn1KEL2V1VT1Fm,1.0,https://i.scdn.co/image/ab67616d0000b27310d6f47857fde6889507f17f
Drei weiße Birken,['Neue Böhmische Blasmusik'],4X9QFJoNa3YSjiw0PBY69y,0.7025927901268005,https://i.scdn.co/image/ab67616d0000b273fd57a3200d8727a910a7bb28
Drei Weiße Birken,['Monika & Peter'],1GVeWbxkD3zQsDe98Nnr9I,1.0,https://i.scdn.co/image/ab67616d0000b273c859c4bd5d52580c3280962f
Der Sheriff von Arkansas ist 'ne Lady,['Caterina Valente'],4jccNsDtxsIHFZ2ZW2Kp82,1.0,https://i.scdn.co/image/ab67616d0000b2738544a00ac0f58a4bb4bbb776
Blue Melodie,['Peter Kraus'],4cts58OOQwoME8otADWCBO,1.0000001192092896,https://i.scdn.co/image/ab67616d0000b273628b8846f0ab0808e3d108a8
Devil,['Jolly Jackers'],4B63ORWIN1yrmfjKYnQCAL,0.5705718994140625,https://i.scdn.co/image/ab67616d0000b2734c467de15f7cd6de0b6cc4ee
Die Liebe ist ein seltsames Spiel,['Connie Francis'],1KJzHI1ZSBr3p7rE6s71oy,1.0,https://i.scdn.co/image/ab67616d0000b2730b9d30c9e7ac927c1bea4853
Café Oriental,['Vico Torriani'],1s8q6VZcXYrKShmppikq1j,1.0,https://i.scdn.co/image/ab67616d0000b273c645ac804b8f1f772e7fbab2
Café Oriental,['Bill Ramsey'],0oJufeQDjiFNlYqkHThpQZ,0.8234378099441528,https://i.scdn.co/image/ab67616d0000b27396b31f2719e6893114f5e6ea
Wunderland bei Nacht,['Bert Kaempfert und sein Orchester'],601b5ck8BY1pizJ9jFJRu7,1.0,https://i.scdn.co/image/ab67616d0000b273e9a2c3aac7e84cb4b77b1d10
Pigalle (Die große Mausefalle),['Bill Ramsey'],33bPxarV6mCbM1V2IPNx37,1.0,https://i.scdn.co/image/ab67616d0000b2737a6f3a3f5766af737502d96e
Ein Seemannsherz,['Caterina Valente'],3EzymHZElnUmUYDKvuXEXR,1.0,https://i.scdn.co/image/ab67616d0000b2734cf473141c3e94fe9f106b33
Das Ende der Liebe (Tell Laura I Love Her),['Rex Gildo'],2UJ1FjD43KKkA1gQmyraC9,0.7845503091812134,https://i.scdn.co/image/ab67616d0000b27315f16543c2ea70ffba1fcf74
Weit ist der Weg - EP Version,['Freddy Quinn'],3pCyo5gjeNVpj3b2JWqEQg,0.9027324914932251,https://i.scdn.co/image/ab67616d0000b273930c8dd0203987fcfd74bd16
Mexico,['Bob Moore'],6q0dx4JeC7N3tJytCs7AiK,1.0,https://i.scdn.co/image/ab67616d0000b2731aa8afef1c4fd7c6e5e2e3df
Ich such dich auf allen Wegen,['Gerd Böttcher'],2Z2UyoHxo3LafGH1OxGFn8,0.9999999403953552,https://i.scdn.co/image/ab67616d0000b273a22e77a00a832f7f9e240f3e
Surrender,['Elvis Presley'],366wRPrx2airjcCRkxgoS2,0.8888531923294067,https://i.scdn.co/image/ab67616d0000b273a22455d1ff7031adeaa90a40
Kapitel 01: Wieder zuhause (Folge 03),"['Franciska Friede', 'Sissi - Die junge Kaiserin']",7JSBQsVdxFEgrosmNFfKaf,0.5180336236953735,https://i.scdn.co/image/ab67616d0000b273ed26b31bc7ccbf2f51f7353d
Weil du meine große Liebe bist,"['Detlef Engel', 'Gerd Böttcher']",2OoGvFS7qibY4muxtcLXmU,0.9949711561203003,https://i.scdn.co/image/ab67616d0000b273c00507ca99f2892d0d1af0ce
"Adieu, Lebewohl, Goodbye",['Gerd Böttcher'],3bAMbBW4JJV1NHyXBcynaZ,0.9665794372558594,https://i.scdn.co/image/ab67616d0000b273448b9f15e990569e07d61bda
Schwarze Rose Rosemarie,['Peter Kraus'],4n6915N6sg936ivNmxJZUH,1.0,https://i.scdn.co/image/ab67616d0000b273bca0b52ef39f6794efa55371
Über alle sieben Meere,['Lolita'],2qCiZ2em5Or7RLEVNIAJCG,0.9999998807907104,https://i.scdn.co/image/ab67616d0000b273cac8796e303ecbbd11d5d062
Nachts in Rom,['Jimmy Makulis'],1NGnDSaZ1zxo5XkHj45r9s,1.0,https://i.scdn.co/image/ab67616d0000b273303c3d547bfb07ab31db6df4
Kommt ein Schiff nach Amsterdam,['Caterina Valente'],4ZTqikmeEDfCRJS7w2YyAQ,1.000000238418579,https://i.scdn.co/image/ab67616d0000b2734cf473141c3e94fe9f106b33
"Warte, warte nur ein Weilchen",['Hawe Schneider & seine Spree City Stompers'],1TYSYvOuIjMPZ1UVufAiIN,0.8296006917953491,https://i.scdn.co/image/ab67616d0000b2732ce36b42f9e64a1d7cc13e0a
Wir lagen vor Madagaskar,['Fred und Rolf'],3hfF1CyRCazLUFkOSFSvnF,0.9332721829414368,https://i.scdn.co/image/ab67616d0000b27305c9f3ffdf733353ec8ca10a
Weites Land,"['Jimmy Makulis', 'Nina']",2QLFIcSYZzwSCVuSB5ViJy,0.9462312459945679,https://i.scdn.co/image/ab67616d0000b27311188cd1c71194d16f647928
"Missouri-Cowboy, du mußt dein Pferd verkaufen","['Peter Alexander', 'Bill Ramsey']",1S2MaNGgOzaFp2DxMN9rAW,1.0,https://i.scdn.co/image/ab67616d0000b273e36910923322169c0ade50a1
Einmal weht der Südwind wieder,['Nana Mouskouri'],3l6PEGhQ5JcJijJL2104Ix,1.0000001192092896,https://i.scdn.co/image/ab67616d0000b273a7695d32c1b35fc41443d946
Ich schau den weißen Wolken nach,['Nana Mouskouri'],4p4YzyICpl43XkQsTLzbIU,1.0,https://i.scdn.co/image/ab67616d0000b273358b7f6d455f6152e7cb9294
Speedy Gonzales,['Rex Gildo'],5WwT88L6R4AK7lZKhGW3r2,1.0,https://i.scdn.co/image/ab67616d0000b27354d9d0bcd866225feee47fd1
Speedy Gonzales,['Pat Boone'],3TmnUIbelFiDzrhZqavHU0,1.0,https://i.scdn.co/image/ab67616d0000b273d45a035dd41e95e048e5e2a8
Heißer Sand,['Mina'],5HxLvr9bFQKydNgWHftwRK,0.9018508791923523,https://i.scdn.co/image/ab67616d0000b273b32d921f0b5273bcc71541d3
Tanze mit mir in den Morgen (Mitternachts-Tango),['Gerhard Wendland'],16UieEKoUq7xphJ9keJ8I4,1.0,https://i.scdn.co/image/ab67616d0000b273b2d5a746ef3ca9433ad24dc3
Mexico,['Bob Moore'],6q0dx4JeC7N3tJytCs7AiK,1.0,https://i.scdn.co/image/ab67616d0000b2731aa8afef1c4fd7c6e5e2e3df
Monsieur,['Petula Clark'],0oZcv4HSNMBUSrgNxEnmFS,1.0,https://i.scdn.co/image/ab67616d0000b273b3c4764db83358ff9d0444be
Paradiso,['Connie Francis'],3ce6hqYIHaz9F4r2j3GVzY,1.0,https://i.scdn.co/image/ab67616d0000b273a37b6d0998377f192b1cdf43
Don't Break The Heart That Loves You,['Connie Francis'],7rmaDmGS76msXJMkTr34k9,0.9288168549537659,https://i.scdn.co/image/ab67616d0000b2738bb1230d0450aa5e271637ba
"Jana, schöne Mexicana",['Peter Niemann'],3mEbuVJ69lxvBLDOwS7ZKA,1.0,https://i.scdn.co/image/ab67616d0000b2732dae442d55ae3135392cd492
Zwei kleine Italiener,['Conny Froboess'],2v3TG35plidR486Cltpgxs,0.9130473136901855,https://i.scdn.co/image/ab67616d0000b273ce882dddc9ad55dec864f28e
Sweety,['Peter Kraus'],7Ext4D8h6j9SLcdcjUY7o2,1.0000001192092896,https://i.scdn.co/image/ab67616d0000b273628b8846f0ab0808e3d108a8
Sauerkraut-Polka,['Gus Backus'],1Svkz5tr4nvWlKDCgjfS7e,1.0,https://i.scdn.co/image/ab67616d0000b273b8f4f63cc79bffcb6ef603c9
Schläfst du schon?,['Gerhard Wendland'],42PU2kcqvYjEPCycU7GKzm,0.8793874979019165,https://i.scdn.co/image/ab67616d0000b273acb20cc648029502b446cc7e
