artists,title,points,pos,max_pos,year_released,year_charts,weeks_top10
Shakira,Gypsy,9,65,7,2010,2010,2
Nena,In meinem Leben,8,66,4,2010,2010,1
OneRepublic,Secrets,7,67,9,2009,2010,3
Ich + Ich,Universum,6,68,10,2010,2010,3
Revolverheld feat. Marta Jandova,Halt dich an mir fest,6,69,8,2010,2010,2
David Guetta feat. Rihanna,Who's That Chick?,6,70,6,2010,2010,1
Amy MacDonald,Don't Tell Me That It's Over,6,71,6,2010,2010,1
Madcon,Freaky Like Me,5,72,9,2010,2010,2
Jason DeRülo,In My Head,5,73,9,2010,2010,2
Michael Jackson feat. Akon,Hold My Hand,5,74,7,2010,2010,1
Blümchen,Boomerang,5,75,7,1996,2010,1
Kylie Minogue,All The Lovers,4,76,10,2010,2010,2
Die Fantastischen Vier,Gebt uns ruhig die Schuld,4,77,10,2010,2010,2
Bushido,Alles wird gut,4,78,10,2010,2010,2
Stanfour,Wishing You Well,4,79,10,2009,2010,2
Edita Abdieski (X-Factor 1),I've Come To Life,3,80,9,2010,2010,1
Unheilig,Unter deiner Flagge,3,81,9,2010,2010,1
Monrose (Popstars 5),Like A Lady,3,82,9,2010,2010,1
Timbaland feat. Katy Perry,If We Ever Meet Again,3,83,9,2010,2010,1
Taio Cruz feat. Kylie Minogue,Higher,2,84,10,2010,2010,1
Enrique Iglesias feat. Pitbull,I Like It,2,85,10,2010,2010,1
Plan B,She Said,2,86,10,2010,2010,1
Medina,You And I,2,87,10,2010,2010,1
The Black Eyed Peas,Rock That Body,2,88,10,2010,2010,1
Jennifer Braun (Unser Star für Oslo 2010),I Care For You,2,89,10,2010,2010,1
Jennifer Lopez feat. Pitbull,On The Floor,266,1,1,2011,2011,25
Alexandra Stan,Mr. Saxobeat,202,2,1,2011,2011,15
Bruno Mars,Grenade,197,3,1,2011,2011,15
Marlon Roudette,New Age,171,4,1,2011,2011,11
Maroon 5 feat. Christina Aguilera,Moves Like Jagger,146,5,2,2011,2011,12
Lucenzo feat. Don Omar,Danza Kuduro,144,6,1,2011,2011,14
Pitbull feat. Ne-Yo & Afrojack & Nayer,Give Me Everything,135,7,2,2011,2011,16
LMFAO feat. Lauren Bennett & GoonRock,Party Rock Anthem,134,8,1,2011,2011,16
Adele,Rolling In The Deep,132,9,1,2011,2011,13
Rihanna feat. Calvin Harris,We Found Love,131,10,1,2011,2011,9
Snoop Doggy Dogg vs. David Guetta,Sweat,125,11,2,2011,2011,13
Tim Bendzko,Nur noch kurz die Welt retten,118,12,2,2011,2011,17
Lady Gaga,Born This Way,110,13,1,2011,2011,10
Empire Of The Sun,We Are The People,106,14,2,2009,2011,10
The Black Eyed Peas,The Time (Dirty Bit),106,15,1,2010,2011,8
Taio Cruz feat. Flo Rida,Hangover,99,16,2,2011,2011,8
Aura Dione,Geronimo,95,17,1,2011,2011,8
Sunrise Avenue,Hollywood Hills,94,18,3,2011,2011,12
Israel 'Iz' Kamakawiwo'ole,Over The Rainbow,89,19,1,2010,2011,9
Taio Cruz feat. Kylie Minogue,Higher,79,20,3,2010,2011,13
Pietro Lombardi (DsdS 8),Call My Name,77,21,1,2011,2011,5
Rihanna,S&M,74,22,2,2011,2011,9
Lana Del Rey,Video Games,72,23,1,2011,2011,6
Lady Gaga,The Edge Of Glory,66,24,3,2011,2011,10
Sean Paul feat. Alexis Jordan,Got 2 Luv U,64,25,3,2011,2011,10
DJ Antoine vs. Timati feat. Kalenna,Welcome To St. Tropez (DJ Antoine vs. Mad Mark Remix),61,26,3,2011,2011,10
Caro Emerald,A Night Like This,59,27,4,2011,2011,10
David Guetta feat. Sia,Titanium,57,28,5,2011,2011,11
Hurts,Stay,55,29,3,2011,2011,7
Adele,Someone Like You,54,30,4,2011,2011,10
Sak Noel,Loca People (What The F**k!),49,31,4,2011,2011,9
R.I.O. feat. U-Jean,Turn This Club Around,48,32,3,2011,2011,6
Jessie J. feat. B.o.B,Price Tag,42,33,3,2011,2011,8
Milow,You And Me (In My Pocket),41,34,3,2011,2011,7
Flo Rida,Good Feeling,41,35,1,2011,2011,5
Bruno Mars,Just The Way You Are,39,36,5,2010,2011,7
Katy Perry,Firework,34,37,4,2010,2011,6
Duck Sauce,Barbra Streisand,31,38,5,2010,2011,5
Chris Brown,Yeah 3X,29,39,7,2011,2011,7
Diddy - Dirty Money feat. Skylar Grey,Coming Home,29,40,4,2011,2011,5
Gotye feat. Kimbra,Somebody That I Used To Know,26,41,2,2011,2011,3
Sarah Engels (DsdS 8) & Pietro Lombardi (DsdS 8),I Miss You,26,42,2,2011,2011,3
Adele,Set Fire To The Rain,25,43,6,2011,2011,7
Udo Lindenberg feat. Clueso,Cello,25,44,4,2011,2011,6
Lena Meyer-Landrut (Unser Star für Oslo 2010),Taken By A Stranger,24,45,2,2011,2011,3
Unheilig,Winter/Winterland,22,46,4,2010,2011,4
David Guetta feat. Usher,Without You,21,47,7,2011,2011,6
David Guetta feat. Taio Cruz & Ludacris,Little Bad Girl,20,48,5,2011,2011,6
Brooke Fraser,Something In The Water,18,49,8,2011,2011,6
Pitbull feat. Marc Anthony,Rain Over Me,18,50,7,2011,2011,5
Milk & Sugar vs. Vaya Con Dios,Hey (Nah Neh Nah),18,51,7,2011,2011,5
Rosenstolz,Wir sind am Leben,18,52,3,2011,2011,3
Sarah Engels (DsdS 8),Call My Name,15,53,2,2011,2011,1
Martin Solveig & Dragonette,Hello,14,54,5,2010,2011,3
Rihanna,California King Bed,13,55,8,2011,2011,4
Avicii,Levels,10,56,6,2011,2011,3
Usher,More,10,57,7,2011,2011,3
David Guetta feat. Flo Rida & Nicki Minaj,Where Them Girls At,10,58,5,2011,2011,2
Katy Perry feat. Kanye West,E.T.,9,59,9,2011,2011,4
Rihanna,Only Girl (In The World),9,60,8,2010,2011,3
David Guetta feat. Rihanna,Who's That Chick?,9,61,8,2010,2011,3
Nickelback,When We Stand Together,9,62,6,2011,2011,2
Pink & Happy Feet Two Chorus,Bridge Of Light,8,63,8,2011,2011,2
Bruno Mars,The Lazy Song,7,64,9,2011,2011,3
Flo Rida,"Turn Around (5,4,3,2,1)",7,65,8,2011,2011,2
Rammstein,Mein Land,7,66,5,2011,2011,1
Tim Bendzko,Wenn Worte meine Sprache wären,7,67,5,2011,2011,1
Example,Changed The Way You Kiss Me,6,68,8,2011,2011,2
Krypteria & Der BVB Jahrhundertchor,Die BVB-Hymne 2011,6,69,6,2011,2011,1
Jay Sean feat. Lil' Wayne,Down,5,70,9,2009,2011,2
Blue,I Can,5,71,7,2011,2011,1
Pink,F**kin' Perfect,5,72,7,2011,2011,1
Roxette,She's Got Nothing On (But The Radio),4,73,10,2011,2011,2
Michael Jackson feat. Akon,Hold My Hand,4,74,10,2010,2011,2
Foster The People,Pumped Up Kicks,3,75,9,2011,2011,1
Glasperlenspiel,Echt,3,76,9,2011,2011,1
The Black Eyed Peas,Just Can't Get Enough,3,77,9,2011,2011,1
Revolverheld feat. Marta Jandova,Halt dich an mir fest,2,78,10,2010,2011,1
David Pfeffer (X-Factor 2),I'm Here,2,79,10,2011,2011,1
Jupiter Jones,Still,2,80,10,2011,2011,1
Natalia Kills,Mirrors,2,81,10,2011,2011,1
Herbert Grönemeyer,Schiffsverkehr,2,82,10,2011,2011,1
Michel Telo,Ai Se Eu Te Pego,239,1,1,2011,2012,16
Lykke Li,I Follow Rivers,224,2,1,2012,2012,21
Asaf Avidan & The Mojos,One Day / Reckoning Song,212,3,1,2012,2012,16
Die Toten Hosen,Tage wie diese,210,4,1,2012,2012,17
Gotye feat. Kimbra,Somebody That I Used To Know,178,5,1,2011,2012,14
Rihanna,Diamonds,173,6,1,2012,2012,11
Psy,Gangnam Style,171,7,1,2012,2012,12
Olly Murs (UK X-Factor 6) feat. Rizzle Kicks,Heart Skips A Beat,158,8,1,2012,2012,14
Carly Rae Jepsen,Call Me Maybe,155,9,3,2012,2012,20
Loreen,Euphoria,143,10,1,2012,2012,13
Alex Clare,Too Close,123,11,1,2012,2012,10
Marteria & Yasha & Miss Platnum,Lila Wolken,114,12,1,2012,2012,13
Adele,Skyfall (James Bond Soundtrack),109,13,1,2012,2012,10
Sean Paul,She Doesn't Mind,104,14,2,2012,2012,11
Gusttavo Lima,Balada,100,15,3,2012,2012,10
Lana Del Rey,Video Games,94,16,2,2011,2012,8
Tacabro,Tacata,69,17,4,2012,2012,11
Flo Rida,Whistle,69,18,2,2012,2012,11
Klangkarussell,Sonnentanz,63,19,4,2012,2012,12
Lana Del Rey,Summertime Sadness,60,20,4,2012,2012,11
Taio Cruz feat. Flo Rida,Hangover,58,21,3,2011,2012,7
David Guetta feat. Sia,She Wolf (Falling To Pieces),53,22,3,2012,2012,8
Cro,Easy,51,23,2,2012,2012,8
Robbie Williams,Candy,50,24,3,2012,2012,7
Christina Perri,Jar Of Hearts,48,25,5,2011,2012,9
Xavas (Xavier Naidoo & Kool Savas),Schau nicht mehr zurück,45,26,2,2012,2012,6
Lena Meyer-Landrut (Unser Star für Oslo 2010),Stardust,41,27,2,2012,2012,6
Linkin Park,Burn It Down,41,28,2,2012,2012,6
Taio Cruz,World In Our Hands,37,29,4,2012,2012,6
Of Monsters And Men,Little Talks,36,30,5,2012,2012,8
Mike Candys feat. Evelyn & Patrick Miller,2012 (If The World Would End),36,31,3,2012,2012,5
Die Toten Hosen,Altes Fieber,34,32,3,2012,2012,6
Luca Hänni (DsdS 9),Don't Think About Me,34,33,1,2012,2012,3
Taio Cruz feat. Pitbull,There She Goes,33,34,5,2012,2012,6
Flo Rida,Good Feeling,32,35,5,2011,2012,6
Pink,Try,32,36,2,2012,2012,4
Train,Drive By,31,37,3,2012,2012,7
Rihanna feat. Calvin Harris,We Found Love,31,38,4,2011,2012,5
Aura Dione feat. Rock Mafia,Friends,31,39,4,2012,2012,5
Flo Rida feat. Sia,Wild Ones,30,40,6,2012,2012,7
Caligola,Forgive Forget,29,41,2,2012,2012,4
Avicii,Levels,28,42,6,2011,2012,8
Cro,Du,27,43,2,2012,2012,6
Jason DeRülo,Breathing,26,44,5,2012,2012,7
Adele,Someone Like You,25,45,5,2011,2012,6
Pitbull,Back In Time,25,46,5,2012,2012,4
Alicia Keys feat. Nicki Minaj,Girl On Fire,24,47,4,2012,2012,4
Unheilig,So wie du warst,24,48,2,2012,2012,4
fun. feat. Janelle Monae,We Are Young,23,49,4,2012,2012,4
Maroon 5 feat. Wiz Khalifa,Payphone,21,50,4,2012,2012,5
Oceana,Endless Summer,20,51,5,2012,2012,4
Ivy Quainoo (The Voice of Germany 1),Do You Like What You See,20,52,2,2012,2012,3
Max Herre feat. Philipp Poisel,Wolke 7,19,53,6,2012,2012,5
Bruno Mars,Locked Out Of Heaven,18,54,7,2012,2012,5
Emeli Sande,Read All About It (Part 3),17,55,7,2012,2012,5
Marlon Roudette,Anti Hero (Brave New World),15,56,6,2012,2012,4
David Guetta feat. Nicki Minaj,Turn Me On,15,57,6,2011,2012,4
Norbert Dickel & Der BVB Jahrhundertchor,"Borussia, schenk uns die Schale",15,58,2,2012,2012,1
Aura Dione,Geronimo,14,59,7,2011,2012,3
R.I.O. feat. U-Jean,Summer Jam,13,60,7,2012,2012,4
Deichkind,Leider Geil (Leider Geil),13,61,6,2012,2012,3
Taio Cruz,Troublemaker,13,62,6,2011,2012,3
Die Ärzte,zeiDverschwÄndung,12,63,3,2012,2012,1
Roman Lob (Unser Star für Baku 2012),Standing Still,12,64,3,2012,2012,1
DJ Antoine feat. The Beat Shakers,Ma Cherie,10,65,6,2011,2012,2
The Script feat. Will.i.am,Hall Of Fame,8,66,4,2012,2012,1
Daniele Negroni (DsdS 9),Don't Think About Me,8,67,4,2012,2012,1
DJane HouseKat feat. Rameez,My Party,8,68,4,2012,2012,1
Philipp Poisel,Eiserner Steg,8,69,4,2011,2012,1
Triggerfinger,I Follow Rivers,7,70,9,2012,2012,3
David Guetta feat. Ne-Yo & Akon,Play Hard,7,71,8,2012,2012,2
The BossHoss,Don't Gimme That,7,72,8,2011,2012,2
Silbermond,Himmel auf,7,73,5,2012,2012,1
Philipp Poisel,Wie soll ein Mensch das ertragen?,7,74,5,2010,2012,1
Seeed,Augenbling,5,75,9,2012,2012,2
OneRepublic,Feel Again,5,76,9,2012,2012,2
Simple Plan feat. Sean Paul,Summer Paradise,5,77,9,2012,2012,2
Rammstein,Mein Herz brennt 2012,5,78,7,2012,2012,1
Flo Rida,I Cry,4,79,10,2012,2012,2
LMFAO,Sexy And I Know It,4,80,8,2011,2012,1
Far East Movement feat. Justin Bieber,Live My Life,4,81,8,2012,2012,1
Michael Schulte (The Voice of Germany 1),Carry Me Home,4,82,8,2012,2012,1
Madonna feat. Nicki Minaj & M.I.A.,Give Me All Your Luvin',4,83,8,2012,2012,1
Pink & Happy Feet Two Chorus,Bridge Of Light,4,84,8,2011,2012,1
Laing,Morgens immer Müde,3,85,9,2012,2012,1
Cro,Einmal um die Welt,3,86,9,2012,2012,1
Ed Sheeran,The A Team,3,87,9,2011,2012,1
Udo Lindenberg feat. Clueso,Cello,3,88,9,2011,2012,1
Foster The People,Pumped Up Kicks,3,89,9,2011,2012,1
Pink,Blow Me (One Last Kiss),2,90,10,2012,2012,1
R.I.O. feat. Nicco,Party Shaker,2,91,10,2012,2012,1
Will.i.am feat. Britney Spears,Scream & Shout,255,1,1,2013,2013,19
Avicii feat. Aloe Blacc,Wake Me Up!,231,2,1,2013,2013,15
Robin Thicke feat. T.I. & Pharrell Williams,Blurred Lines,200,3,1,2013,2013,16
Daft Punk feat. Pharrell Williams,Get Lucky,165,4,1,2013,2013,16
Klingande,Jubel,161,5,1,2013,2013,11
Passenger,Let Her Go,151,6,1,2013,2013,12
Capital Cities,Safe And Sound,141,7,1,2013,2013,15
Naughty Boy feat. Sam Smith,La La La,130,8,2,2013,2013,13
The Script feat. Will.i.am,Hall Of Fame,119,9,2,2012,2013,14
Macklemore & Ryan Lewis & Wanz,Thrift Shop,118,10,2,2012,2013,14
Avicii,Hey Brother,116,11,1,2013,2013,10
Macklemore & Ryan Lewis & Ray Dalton,Can't Hold Us,106,12,2,2013,2013,16
Katy Perry,Roar,105,13,2,2013,2013,10
Pink feat. Nate Ruess,Just Give Me A Reason,103,14,1,2013,2013,9
Justin Timberlake,Mirrors,89,15,2,2013,2013,10
Olly Murs (UK X-Factor 6),Dear Darlin',87,16,2,2013,2013,11
Jason DeRülo feat. 2 Chainz,Talk Dirty,87,17,1,2013,2013,7
Psy,Gangnam Style,84,18,1,2012,2013,9
Adel Tawil,Lieder,79,19,2,2013,2013,7
Milky Chance,Stolen Dance,75,20,2,2013,2013,9
Cro,Whatever,70,21,1,2013,2013,8
Rihanna,Diamonds,69,22,1,2012,2013,7
Sportfreunde Stiller,Applaus!! Applaus!!,65,23,4,2013,2013,12
OneRepublic,Counting Stars,65,24,3,2013,2013,10
Olly Murs (UK X-Factor 6) feat. Flo Rida,Troublemaker,65,25,2,2013,2013,7
Martin Garrix,Animals,62,26,4,2013,2013,13
Sido,Bilder im Kopf,62,27,5,2012,2013,12
Imagine Dragons,Radioactive,60,28,4,2013,2013,10
James Blunt,Bonfire Heart,60,29,1,2013,2013,6
Birdy,People Help The People,59,30,3,2012,2013,10
James Arthur (UK X-Factor 9),Impossible,55,31,5,2013,2013,14
Rihanna feat. Mikky Ekko,Stay,52,32,2,2013,2013,7
Icona Pop feat. Charli XCX,I Love It,50,33,3,2012,2013,8
Pitbull feat. Ke$ha,Timber,49,34,2,2013,2013,6
Ellie Goulding,Burn,46,35,4,2013,2013,9
Eminem feat. Rihanna,The Monster,44,36,3,2013,2013,7
John Newman,Love Me Again,39,37,6,2013,2013,9
Bastille,Pompeii,38,38,6,2013,2013,8
Beatrice Egli (DsdS 10),Mein Herz,36,39,1,2013,2013,3
Stromae,Papaoutai,32,40,6,2013,2013,8
Pink,Try,31,41,3,2012,2013,4
Lady Gaga,Applause,27,42,5,2013,2013,5
FAUL & Wad Ad vs. Pnau,Changes,27,43,1,2013,2013,3
Arash feat. Sean Paul,She Makes Me Go,26,44,5,2013,2013,5
Family Of The Year,Hero,25,45,7,2013,2013,7
Xavier Naidoo,Bei meiner Seele,21,46,2,2013,2013,3
Frida Gold,Liebe ist meine Rebellion,19,47,4,2013,2013,5
Emeli Sande,Read All About It (Part 3),17,48,5,2012,2013,3
Alicia Keys feat. Nicki Minaj,Girl On Fire,16,49,4,2012,2013,4
Sido feat. Mark Forster,Einer dieser Steine,16,50,4,2013,2013,3
OneRepublic,If I Lose Myself,15,51,6,2013,2013,3
Depeche Mode,Heaven,15,52,2,2013,2013,1
Lorde,Royals,14,53,9,2013,2013,5
Madcon feat. Kelly Rowland,One Life,14,54,6,2013,2013,4
Miley Cyrus,Wrecking Ball,12,55,6,2013,2013,2
Wiz Khalifa feat. 2 Chainz,We Own It (Fast & Furious),12,56,5,2013,2013,2
Sean Paul,Other Side Of Love,12,57,3,2013,2013,1
Seeed,Augenbling,9,58,7,2012,2013,3
The Lumineers,Ho Hey,9,59,5,2013,2013,2
Swedish House Mafia feat. John Martin,Don't You Worry Child,8,60,9,2012,2013,3
Adele,Skyfall (James Bond Soundtrack),8,61,7,2012,2013,2
Flo Rida feat. Pitbull,Can't Believe It,8,62,4,2013,2013,1
Casper,Im Ascheregen,8,63,4,2013,2013,1
Prince Kay One feat. The Product G&B,V.I.P.,8,64,4,2013,2013,1
Wax,Rosana,7,65,7,2013,2013,2
Cro,Einmal um die Welt,7,66,8,2012,2013,2
Y-Titty,Halt dein Maul,7,67,5,2013,2013,1
Emmelie De Forest,Only Teardrops,7,68,5,2013,2013,1
Nick Howard (The Voice of Germany 2),Unbreakable,7,69,5,2012,2013,1
Cascada,Glorious,6,70,6,2013,2013,1
Sunrise Avenue,Lifesaver,5,71,9,2013,2013,2
Taylor Swift,I Knew You Were Trouble,5,72,9,2013,2013,2
Klangkarussell,Sonnentanz,5,73,9,2012,2013,2
Marteria,Kids (2 Finger an den Kopf),5,74,7,2013,2013,1
Will.i.am feat. Justin Bieber,#thatPOWER,5,75,7,2013,2013,1
Blue,Hurt Lovers,5,76,7,2013,2013,1
Pulcino Pio,Das kleine Küken piept,4,77,10,2013,2013,2
Linkin Park,Castle Of Glass,4,78,10,2012,2013,2
Linkin Park & Steve Aoki,A Light That Never Comes,4,79,8,2013,2013,1
Lisa Wohlgemuth (DsdS 10),Heartbreaker,4,80,8,2013,2013,1
Glasperlenspiel,Nie vergessen,3,81,9,2013,2013,1
Pitbull feat. Christina Aguilera,Feel This Moment,3,82,9,2013,2013,1
Revolverheld,Das kann uns keiner nehmen,2,83,10,2013,2013,1
Eminem,Berzerk,2,84,10,2013,2013,1
Martin Solveig & The Cataracs & Kyle,Hey Now,2,85,10,2013,2013,1
Fergie & Q-Tip & GoonRock,A Little Party Never Killed Nobody (All We Got),2,86,10,2013,2013,1
Baauer,Harlem Shake,2,87,10,2013,2013,1
Pharrell Williams,Happy,264,1,1,2014,2014,19
Helene Fischer,Atemlos durch die Nacht,245,2,3,2013,2014,36
Andreas Bourani,Auf uns,220,3,1,2014,2014,19
Lilly Wood feat. The Prick & Robin Schulz,Prayer In C,207,4,1,2014,2014,17
Mr. Probz & Robin Schulz,Waves,189,5,1,2014,2014,14
Sido feat. Mark Forster,Au Revoir,186,6,2,2014,2014,20
David Guetta feat. Sam Martin,Lovers On The Sun,179,7,1,2014,2014,14
Meghan Trainor,All About That Bass,171,8,1,2014,2014,13
Marlon Roudette,When The Beat Drops Out,152,9,1,2014,2014,12
Clean Bandit feat. Jess Glynne,Rather Be,151,10,1,2014,2014,14
Cro,Traum,124,11,1,2014,2014,11
Pitbull feat. Ke$ha,Timber,117,12,1,2013,2014,10
The Avener,Fade Out Lines,113,13,1,2014,2014,12
Ed Sheeran,I See Fire,109,14,2,2013,2014,15
FAUL & Wad Ad vs. Pnau,Changes,85,15,2,2013,2014,10
OneRepublic,Love Runs Out,82,16,3,2014,2014,12
Robin Schulz feat. Jasmine Thompson,Sun Goes Down,81,17,2,2014,2014,9
David Guetta feat. Sam Martin,Dangerous,81,18,1,2014,2014,5
Calvin Harris,Summer,75,19,3,2014,2014,13
Nico & Vinz,Am I Wrong,69,20,3,2014,2014,9
Ella Henderson,Ghost,64,21,3,2014,2014,9
Sheppard,Geronimo,62,22,3,2014,2014,8
Adel Tawil,Lieder,61,23,3,2013,2014,9
Calvin Harris feat. John Newman,Blame,55,24,4,2014,2014,9
Katy Perry feat. Juicy J.,Dark Horse,53,25,6,2013,2014,11
Band Aid 30 Deutschland,Do They Know It's Christmas? (Deutsche Version),51,26,1,2014,2014,3
Lily Allen,Hard Out Here,48,27,2,2014,2014,5
George Ezra,Budapest,45,28,3,2014,2014,7
Taylor Swift,Shake It Off,41,29,5,2014,2014,8
Kwabs,Walk,41,30,3,2014,2014,5
Avicii,Addicted To You,37,31,6,2013,2014,8
Avicii,Hey Brother,34,32,4,2013,2014,6
Aneta Sablik (DsdS 11),The One,31,33,1,2014,2014,3
Martin Tungevaag,Wicked Wonderland,30,34,6,2014,2014,7
Klingande,Jubel,28,35,5,2013,2014,6
James Newton Howard feat. Jennifer Lawrence,The Hanging Tree,28,36,2,2014,2014,3
Sigma,Nobody To Love,27,37,7,2014,2014,7
Band Aid 30,Do They Know It's Christmas?,27,38,2,2014,2014,2
Route 94 feat. Jess Glynne,My Love,26,39,6,2014,2014,6
Bakermat,One Day (Vandaag),26,40,4,2014,2014,5
Jason DeRülo feat. Snoop Doggy Dogg,Wiggle,25,41,6,2014,2014,5
Andreas Bourani,Auf anderen Wegen,24,42,7,2014,2014,7
Kiesza,Hideaway,24,43,5,2014,2014,6
Andreas Kümmert (The Voice of Germany 3),Simple Man,23,44,2,2014,2014,2
Elaiza,Is It Right,21,45,4,2014,2014,6
Avicii,The Days,21,46,7,2014,2014,5
The Common Linnets,Calm After The Storm,20,47,3,2014,2014,5
Maroon 5,Maps,19,48,6,2014,2014,4
Magic!,Rude,17,49,7,2014,2014,5
AronChupa,I'm An Albatraoz,17,50,6,2014,2014,4
Pitbull feat. Jennifer Lopez & Claudia Leitte,We Are One (Ole Ola),17,51,6,2014,2014,4
Marteria,Kids (2 Finger an den Kopf),17,52,6,2013,2014,4
Shakira feat. Rihanna,Can't Remember To Forget You,15,53,8,2014,2014,5
Milky Chance,Stolen Dance,15,54,7,2013,2014,4
Revolverheld,Lass uns gehen,15,55,4,2014,2014,3
Gregor Meyle (TV Total SsdSdsswemugabRTLad),Keine ist wie du,15,56,2,2014,2014,1
Eminem feat. Rihanna,The Monster,14,57,7,2013,2014,4
Revolverheld,Ich lass für dich das Licht an,11,58,7,2014,2014,3
Cris Cab,Liar Liar,10,59,9,2014,2014,4
Ed Sheeran,Sing,9,60,7,2014,2014,2
The Script,Superheroes,8,61,8,2014,2014,3
Vance Joy,Riptide,8,62,9,2014,2014,3
Herbert Grönemeyer,Morgen,7,63,5,2014,2014,1
Conchita Wurst,Rise Like A Phoenix,7,64,5,2014,2014,1
Unheilig,Zeit zu gehen,6,65,6,2014,2014,1
James Blunt,Bonfire Heart,6,66,6,2013,2014,1
Coldplay,A Sky Full Of Stars,6,67,6,2014,2014,1
Jan Delay,St. Pauli,6,68,6,2014,2014,1
Flo Rida feat. Sage The Gemini & Lookas,G.D.F.R.,5,69,7,2014,2014,1
Fences feat. Macklemore & Ryan Lewis,Arrows,4,70,8,2014,2014,1
Lorde,Royals,4,71,8,2013,2014,1
Mando Diao,Black Saturday,4,72,8,2014,2014,1
Marteria,OMG!,4,73,8,2014,2014,1
Cro,Bad Chick,3,74,9,2014,2014,1
Andreas Gabalier,Amoi seg' ma uns wieder,3,75,9,2014,2014,1
Alle Farben feat. Graham Candy,She Moves (Far Away),3,76,9,2014,2014,1
Jessie J.,Masterpiece,2,77,10,2014,2014,1
Sia,Chandelier,2,78,10,2014,2014,1
Kollegah,King,2,79,10,2014,2014,1
Unheilig,Als wär's das erste Mal,2,80,10,2014,2014,1
Bastille,Of The Night,2,81,10,2013,2014,1
Martin Garrix,Animals,2,82,10,2013,2014,1
Sido feat. Andreas Bourani,Astronaut,237,1,1,2015,2015,19
Felix Jaehn feat. Jasmine Thompson,Ain't Nobody (Loves Me Better),196,2,1,2015,2015,18
Robin Schulz feat. Francesco Yates,Sugar,191,3,1,2015,2015,16
OMI feat. Felix Jaehn,Cheerleader,181,4,1,2015,2015,18
Namika,Lieblingsmensch,176,5,1,2015,2015,17
Glasperlenspiel,Geiles Leben,163,6,2,2015,2015,13
Adele,Hello,162,7,1,2015,2015,9
Lost Frequencies,Are You With Me,159,8,1,2015,2015,16
Ellie Goulding,Love Me Like You Do,153,9,1,2015,2015,13
Lost Frequencies feat. Janieck Devy,Reality,136,10,1,2015,2015,12
James Newton Howard feat. Jennifer Lawrence,The Hanging Tree,132,11,1,2014,2015,12
Cro,Bye Bye,104,12,1,2015,2015,10
Kwabs,Walk,97,13,1,2014,2015,9
Major Lazer & DJ Snake & M0,Lean On,96,14,4,2015,2015,17
Anna Naklab feat. Alle Farben & YouNotUs,Supergirl,94,15,2,2015,2015,11
Sarah Connor,Wie schön du bist,90,16,2,2015,2015,11
Wiz Khalifa feat. Charlie Puth,See You Again,89,17,1,2015,2015,9
Mark Ronson feat. Bruno Mars,Uptown Funk!,86,18,3,2014,2015,11
Jason DeRülo,Want To Want Me,82,19,2,2015,2015,11
Ed Sheeran,Photograph,81,20,4,2014,2015,15
Rihanna & Kanye West & Paul McCartney,FourFiveSeconds,79,21,3,2015,2015,10
David Guetta feat. Sam Martin,Dangerous,79,22,1,2014,2015,6
Louane Emera,Avenir,73,23,3,2015,2015,9
Kygo feat. Parson James,Stole The Show,72,24,2,2015,2015,9
Calvin Harris feat. Ellie Goulding,Outside,70,25,1,2014,2015,8
Justin Bieber,Sorry,69,26,3,2015,2015,9
Kygo feat. Conrad Sewell,Firestone,65,27,3,2015,2015,10
Madcon feat. Ray Dalton,Don't Worry,65,28,3,2015,2015,9
Hozier,Take Me To Church,61,29,2,2014,2015,13
Matt Simons,Catch & Release,59,30,2,2015,2015,5
Calvin Harris & Disciples,How Deep Is Your Love,57,31,4,2015,2015,11
MoTrip feat. Lary,So wie du bist,54,32,3,2015,2015,10
Robin Schulz feat. Ilsey,Headlights,51,33,6,2015,2015,12
Zara Larsson,Lush Life,46,34,4,2015,2015,7
AronChupa,I'm An Albatraoz,44,35,4,2014,2015,8
Gestört aber GeiL & Koby Funk & Wincent Weiss,Unter meiner Haut,40,36,6,2015,2015,8
Robin Schulz & J.U.D.G.E.,Show Me Love,37,37,2,2015,2015,4
Philipp Dittberner & Marv,Wolke 4,33,38,7,2015,2015,10
Charli XCX,Break The Rules,33,39,4,2015,2015,6
Justin Bieber,What Do You Mean?,31,40,4,2015,2015,8
Sigala,Easy Love,28,41,5,2015,2015,6
R. City feat. Adam Levine,Locked Away,27,42,6,2015,2015,6
James Bay,Hold Back The River,26,43,4,2015,2015,4
Andreas Bourani,Auf anderen Wegen,21,44,4,2014,2015,5
Philip George,Wish You Were Mine,21,45,6,2015,2015,5
Robin Schulz feat. Jasmine Thompson,Sun Goes Down,21,46,5,2014,2015,4
Felix Jaehn feat. Polina,Book Of Love,20,47,7,2015,2015,6
Die Ärzte,Schrei nach Liebe,18,48,1,1993,2015,1
Justin Bieber,Love Yourself,17,49,7,2015,2015,5
Avicii,Waiting For Love,16,50,8,2015,2015,5
Clean Bandit feat. Jess Glynne,Real Love,15,51,2,2015,2015,1
Ed Sheeran,Thinking Out Loud,13,52,6,2014,2015,3
Coldplay,Adventure Of A Lifetime,12,53,5,2015,2015,3
Mans Zelmerlöw,Heroes,12,54,3,2015,2015,1
Charley Ann Schmutzler (The Voice of Germany 4),Blue Heart,12,55,3,2014,2015,1
Echosmith,Cool Kids,11,56,8,2015,2015,3
